PRIDE	RAW file	RAW file version	Creation date	Operator	Number of instruments	Description	Instrument model	Instrument name	Serial number	Software version	major	minor	Firmware version	Units	Mass resolution	Number of scans	Number of ms2 scans	Scan range	Time range	Mass range	Scan filter (first scan)	Scan filter (last scan)	Total number of filters	Sample name	Sample id	Sample type	Sample comment	Sample vial	Sample volume	Sample injection volume	Sample row number	Sample dilution factor	Sample barcode	Title	Repos	Species	Instrument	Publication	LabHead	Announce.Date	year	month	day	Keywords
PXD003587	.temp.raw	66	15/07/2014 00:11:01	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10120	1.1.980	1	1		None	0.500	51792	43405	1-51792	0-120	110-2000	FTMS + p NSI Full ms [350.0000-1200.0000]	FTMS + p NSI Full ms [350.0000-1200.0000]	8054		APAP iTMT_EL_03	Unknown	APAP iTMT EL_03	GC3	0	10	0	1		Acetaminophen-induced S-nitrosylation and S-sulfenylation signalling in 3D cultured hepatocarcinoma cell spheroids.	PRIDE	Homo sapiens 	Orbitrap Fusion	Wojdyla et al. (2016)	Adelina Rogowska-Wrzesinska	2018-10-18	2018	10	18	APAP, 3D cell culture, S-nitrosylation, S-sulfenylation, quantitative redox proteomics, toxicology, HepG2/C3A, 
PXD003723	.temp.raw	66	10/05/2014 13:53:54	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10119	1.0.727.23	1	0		None	0.500	127208	59383	1-127208	0-224.99	99-2000	FTMS + p NSI Full ms [380.00-2000.00]	FTMS + p NSI Full ms [380.00-2000.00]	56697		1	Unknown		A2	0	10	7	1		Salivary biomarkers of diabetic retinopathy, part 1	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Loke Mun Fai	2016-04-26	2016	04	26	Biomedical, Human, saliva, diabetic retinopathy, type-2diabetes mellitus, 
PXD003724	.temp.raw	66	10/05/2014 17:57:30	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10119	1.0.727.23	1	0		None	0.500	120347	56943	1-120347	0-224.99	99-2000	FTMS + p NSI Full ms [380.00-2000.00]	FTMS + p NSI Full ms [380.00-2000.00]	52302		1	Unknown		A2	0	10	8	1		Potential salivary biomarkers with diabetic retinopathy, part 2	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Loke Mun Fai	2016-04-26	2016	04	26	Biomedical, Human, saliva, type-2 diabetes mellitus, retinopathy, 
PXD003725	.temp.raw	66	10/05/2014 22:02:40	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10119	1.0.727.23	1	0		None	0.500	127445	58659	1-127445	0-224.99	99-2000	FTMS + p NSI Full ms [380.00-2000.00]	FTMS + p NSI Full ms [380.00-2000.00]	55134		1	Unknown		A2	0	10	9	1		Salivary biomarkers of diabetic retinopathy, part 3	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Loke Mun Fai	2016-04-26	2016	04	26	Biomedical, Human, salivary proteome, type-2 diabetes mellitus, retinopathy, 
PXD003731	.temp.raw	66	25/06/2015 09:19:41	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.2.1149	1	2		None	0.500	59910	48773	1-59910	0.02-180	120-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	6442		MS15-213 +P E 1 AM4 25 cm 20 µL 180 min	Unknown		RE5	0	20	18	1		Comparative genomic, proteomic and exoproteomic analyses of three Pseudomonas spp.	PRIDE	Pseudomonas putida (strain BIRD-1)	Orbitrap Fusion	Dataset with its publication pending	Alex Jones	2016-08-22	2016	08	22	Biological, exoproteome P. BIRD, 
PXD003777	.temp.raw	66	06/08/2015 05:00:12	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	1	1.1.982	1	1		None	0.500	36279	17487	1-36279	0-145	120-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + p NSI Full ms [350.0000-1550.0000]	4008		1	Unknown		RA4	0	12	7	1		Human Platelet PIP3 Signalosome	PRIDE	Homo sapiens 	Orbitrap Fusion	Durrant et al. (2017); 10.1182/bloodadvances.2017005173	Ingeborg Hers	2017-06-06	2017	06	06	Biomedical, Platelet, Platelets, PIP3, PI3K, LC-MSMS, 
PXD003826	.temp.raw	66	25/06/2015 09:19:41	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.2.1149	1	2		None	0.500	59910	48773	1-59910	0.02-180	120-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	6442		MS15-213 +P E 1 AM4 25 cm 20 µL 180 min	Unknown		RE5	0	20	18	1		Comparative genomic, proteomic and exoproteomic analyses of three Pseudomonas spp. Part 1 resubmitted	PRIDE	Pseudomonas putida (strain BIRD-1)	Orbitrap Fusion	Lidbury et al. (2016)	Alex Jones	2016-08-22	2016	08	22	Biological, exoproteome, Pseudomonas, 
PXD003827	.temp.raw	66	01/08/2015 12:06:49	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.2.1149	1	2		None	0.500	17957	13969	1-17957	0.02-60	120-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	4350		MS15-261 SBW25 -P 1-5 25 cm 20 µL 60 min	Unknown		GE3	0	20	28	1		Comparative genomic, proteomic and exoproteomic analyses of three Pseudomonas spp. - part 2	PRIDE	Pseudomonas fluorescens (strain SBW25)	Orbitrap Fusion	Lidbury et al. (2016)	Alex Jones	2016-08-22	2016	08	22	Biological, exoproteome, Pseudomonas, 
PXD003828	.temp.raw	66	20/07/2015 07:46:05	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.2.1149	1	2		None	0.500	14497	10216	1-14497	0.02-59.99	120-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	4007		MS15-253 4166 +P 2-1 25 cm 20 µL 60 min	Unknown		GD7	0	20	48	1		Comparative genomic, proteomic and exoproteomic analyses of three Pseudomonas spp. Part 3	PRIDE	Pseudomonas stutzeri (Pseudomonas perfectomarina)	Orbitrap Fusion	Lidbury et al. (2016)	Alex Jones	2016-08-22	2016	08	22	Biological, Exproptome, Pseudomonas stutzeri,, 
PXD003843	.temp.raw	66	02/10/2015 13:52:21	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10327	1.1.982	1	1		None	0.500	43321	17351	1-43321	0-106	100-2000.0001	FTMS + p NSI Full ms [400.0000-1400.0000]	FTMS + p NSI sps d Full ms3 542.8915@cid35.00 483.2213@hcd55.00 [100.0000-1000.0000]	22012	HuF_TMT10_Set1_10	1	Unknown		B1	0	3	0	1		Proteomic Analysis of Human Brown Adipose Tissue Reveals Utilization of Coupled and Uncoupled Energy Expenditure Pathways	PRIDE	Homo sapiens 	Orbitrap Fusion	Müller et al. (2016)	Prof. Dr. Bernd Wollscheid	2016-07-21	2016	07	21	Biological, Human, Adipose Tissue, 
PXD003881	.temp.raw	66	07/03/2015 09:09:54	ORBITRAP FUSION	1		Orbitrap Fusion	Orbitrap Fusion	FSN10189	1.1.982	1	1		None	0.500	78580	68194	1-78580	18.01-159.99	120-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	8160		1	Unknown		1B05	0	4	5	1		Quantitative Proteomics Benchmark Dataset to evaluate label-free quantitative methods- LC/Orbitrap Fusion MS analysis of E coli proteomes spiked-in Human proteins at 5 different levels (N=20)	PRIDE	Escherichia coli, Homo sapiens 	Orbitrap Fusion	Shen et al. (2018)	Jun Qu	2018-05-16	2018	05	16	Technical, Human, Ecoli, Orbitrap Fusion, Label-free, Benchmark, IonStar, 
PXD003909	.temp.raw	66	15/04/2015 06:13:19	Thermo Fisher	6		Orbitrap Fusion	Orbitrap Fusion	FSN10106	1.1.980	1	1		None	0.500	199376	166539	1-199376	15.01-335	50-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	ITMS + c NSI r d Full ms2 1240.2461@cid35.00 [336.0000-2000.0000]	20994		1	Unknown		RA9	0	30	4	1		Identification of human PKD2 interaction partners from cytosolic protein fractions of HeLa cells by affinity enrichment cross-linking/MS	PRIDE	Homo sapiens 	Orbitrap Fusion	Häupl, Ihling & Sinz (2016)	Andrea Sinz	2016-09-27	2016	09	27	Technical, Biological, Human, PKD2, Affinity enrichment, Cross-linking/MS, Orbitrap Fusion, 
PXD003913	.temp.raw	66	18/08/2015 16:44:47	Thermo Fisher	6		Orbitrap Fusion	Orbitrap Fusion	FSN10106	1.1.980	1	1		None	0.500	151669	117124	1-151669	15.01-334.99	50-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	17256		1	Unknown		RH2	0	10	0	1		Identification of human PKD2 interaction partners from Golgi-enriched protein fractions of HeLa cells by affinity enrichment cross-linking/MS	PRIDE	Homo sapiens 	Orbitrap Fusion	Häupl, Ihling & Sinz (2016)	Andrea Sinz	2016-09-27	2016	09	27	Technical, Biological, Human, PKD2, HeLa cells, Golgi apparatus, Affinity enrichment, Cross-linking/MS, Orbitrap Fusion, 
PXD004011	.temp.raw	66	27/01/2014 06:35:02	Orbitrap Fusion	6		Orbitrap Fusion	Orbitrap Fusion	FSN10142	1.0.727.28	1	0		None	0.500	55637	43110	1-55637	0-140	100-2000	FTMS + p NSI Full ms [400.00-1700.00]	FTMS + p NSI Full ms [400.00-1700.00]	6028		1	Unknown		GD2	0	5	40	1		LC-MS/MS data of Sulfurospirillum multivorans	PRIDE	Sulfurospirillum multivorans DSM 12446	Orbitrap Fusion	Goris et al. (2015)	Martin von Bergen	2016-07-15	2016	07	15	Biological, Epsilonproteobacterium, Proteomics, Organohalide respiration, tetrachloroethene, 
PXD004065	.temp.raw	66	06/07/2015 23:22:07	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.2.1149	1	2		None	0.500	13788	9406	1-13788	0.02-60	120-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	3715		MS15-240  +P I 2-5 25 cm 15 µL 60 min	Unknown		BA5	0	15	9	1		Comparative genomic, proteomic and exoproteomic analyses of three Pseudomonas spp.part 6b	PRIDE	Pseudomonas putida (strain BIRD-1)	Orbitrap Fusion	Lidbury et al. (2016)	Alex Jones	2016-08-22	2016	08	22	Biological, Pseudomonas, gel-LC, secreted, phosphate, 
PXD004221	.temp.raw	66	17/02/2015 19:46:53	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	CAL_MP21	1.2.1141.5	1	2		None	0.500	48089	40984	1-48089	5.02-90	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	7743		RA1	Unknown	column 155147, trap 131647, dissolved in 22 ul of 5% formic acid and 1.2 ul injected for shotgun run	GB6	0	1.2	7	1		Myosin VIIA 138-1 immunoaffinity purification	PRIDE	Gallus gallus 	Orbitrap Fusion	Dataset with its publication pending	Peter Barr-Gillespie	2016-08-16	2016	08	16	Biological, Hair cell, stereocilia, hair bundle, myosin, vestibular, auditory, PDZ, 
PXD004222	.temp.raw	66	21/01/2016 21:43:37	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	CAL_MP21	1.2.1149	1	2		None	0.500	18170	13302	1-18170	5-95	105-2001	FTMS + p NSI Full ms [400.0000-1000.0000]	FTMS + p NSI Full ms [400.0000-1000.0000]	4336		RA1	Unknown	Chick D10 fractions, universal DDA. 95min gradient. 2ug per injection	RC7	0	6	5	1		D10 Stereocilia Membrane Enrichment	PRIDE	Gallus gallus 	Orbitrap Fusion	Dataset with its publication pending	Peter Barr-Gillespie	2016-08-16	2016	08	16	Biological, Chicken, hair cells, stereocilia, hair bundles, inner ear, vestibular, auditory, 
PXD004254	.temp.raw	66	08/05/2015 00:20:37	Orbitrap Fusion	4		Orbitrap Fusion	Orbitrap Fusion	FSN10151	1.1.982	1	1		None	0.500	71320	54252	1-71320	0-155	77-2000.0001	FTMS + p NSI Full ms [300.0000-2000.0000]	FTMS + p NSI Full ms [300.0000-2000.0000]	9650			Unknown	in sol digestion	RD5	0	7	9	1		Identification of potential human PML interacting proteins in Nicotiana benthamiana	PRIDE	Nicotiana benthamiana	Orbitrap Fusion	Dataset with its publication pending	Uwe Sonnewald	2016-10-10	2016	10	10	Biological, Nicotiana benthamiana, human promyelocytic leukemia protein, coimmunoprecipitation, PML nuclear bodies, Nano-LC MS/MS, 
PXD004266	.temp.raw	66	02/08/2015 21:57:36	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	CAL_MP21	1.2.1149	1	2		None	0.500	52115	41759	1-52115	5-110.01	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	ITMS + c NSI r d Full ms2 1307.6317@hcd35.00 [110.0000-2000.0000]	7663		RA1	Unknown	PSR column 202344, PSR trap 146154, Chicken/Human/Mouse Hairbundles, elution fromHEK NT MYO7a IP(38% of 10cm dish), dissolved in 22 ul of 5% formic acid and 5 ul injected for shotgun analysis 	BC5	0	5	11	1		HEK cell MYO7A-PDZD7 immunoprecipitation	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Peter Barr-Gillespie	2016-08-16	2016	08	16	Biological, Tissue culture cells, myosin, PDZ, immunoprecipitation, 
