Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD015093	Phosphorylation Dependent Assembly of a 14-3-3 Anchored Signaling Complex During Erythrocyte Invasion by Plasmodium falciparum Merozoites	PRIDE	Plasmodium falciparum 3D7	LTQ Orbitrap Velos	More et al. (2020)	Chetan Chitnis	2021-03-05	Malaria, LC MS-MS, RBC invasion, 
PXD021201	Differential analysis of nucleolar proteomics in triple negative breast cancer	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Rajeev Samant	2021-03-04	Nucleolar proteome, Breast cancer, breast cancer subtypes, nucleolus, TNBC, 
PXD022196	Chaperone-mediated autophagy sustains hematopoietic stem cell function	PRIDE	Mus musculus 	Q Exactive HF; Orbitrap Fusion	Dong et al. (2021)	Ana Maria Cuervo	2021-03-04	autophagy, chaperones, lipid metabolism, lysosomes, protein degradation, protein quality control, stem cells, 
PXD022109	Parkin is an E3 ligase for the ubiquitin-like modifier Fat10 which inhibits Parkin activation and mitophagy	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Florian Stengel	2021-03-04	Fat10, ubiquitin, Parkin, mitophagy, Parkinson’s Disease, 
PXD021181	A Novel Role of Wnt/β Catenin Signaling in Regulating the Nucleolus in Triple Negative Breast CancerA Novel Role of Wnt/β Catenin Signaling in Regulating the Nucleolus in Triple Negative Breast Cancer	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Rajeev Samant	2021-03-04	Wnt signaling, Beta Catenin, Triple negative breast cancer, Nucleolus, Nucleolar Proteome, LAS1L, 
PXD019797	A Data-independent Acquisition-based Global Phosphoproteomics System Enables Deep Profiling	jPOST	Homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Yu-Ju Chen	2021-03-04	phosphoproteome, data-independent acquisition, spectral library, lung cancer, 
PXD019916	Lung Cancer Proteome Spectral Library for Data-Independent Acquisition Mass Spectrometer	jPOST	Homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Yu-Ju Chen	2021-03-04	spectral library, data-independent acquisition (DIA), lung cancer, proteome, 
PXD010487	KIN interactome - Methylation of the DNA/RNA-binding protein Kin17 by METTL22 affects its association with chromatin	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Cloutier et al. (2014)	Benoit Coulombe	2021-03-04	Biological, KIN, cancer, protein-protein interaction, BioID, splicing process, ribosome biogenesis, 
PXD010414	thymus mouse LC-MSMS - Thymic Microenvironment Is Modified by Malnutrition and Leishmania infantum Infection	PRIDE	Mus musculus 	LTQ Orbitrap	Losada-Barrag�n et al. (2019)	Patricia Cuervo Escobar	2021-03-04	Biomedical, Thymus, mouse, fluid, malnutrition, LC-MSMS, 
PXD023834	A type I IFN, prothrombotic hyperinflammatory neutrophil signature is distinct for COVID-19 ARDS	PRIDE	Homo sapiens 	orbitrap	Dataset with its publication pending	Sarah Walmsley	2021-03-04	Covid-19, Neutrophil, SARS-CoV-2, COVID-19, ARDS, Type I IFN, dexamethasone, 
PXD011835	HEK293T MS - Representing dynamic biological networks with multi-scale probabilistic models	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Gro� et al. (2019)	Hans A. Kestler	2021-03-04	Biological, Human, HEK293T, st-RNA knockdown, RAC1, JNK1, JNK2, 
PXD019104	Histone post-translational modifications of Trypanosoma cruzi: a high-confidence comprehensive map	PRIDE	Trypanosoma cruzi	LTQ Orbitrap XL ETD	Dataset with its publication pending	Lyris Martins Franco de Godoy	2021-03-04	histone, post-translational modifications, trypanosomatids, trypanosoma cruzi, 
PXD010144	RhoGAP/GEF Interactome - In this project we cloned 141 mammalian RhoGAPs/GEFs (112 human, 26 mouse, 2 rat, 1 chimpanzee) and performed a systematic study of their interactome, localisation and specificity. Here we submit the mass spectrometry data from th	PRIDE	Mus musculus , Pan troglodytes , Rattus norvegicus , Homo sapiens 	LTQ; TripleTOF 5600; LTQ Orbitrap	Dataset with its publication pending	Oliver Rocks	2021-03-04	Biological, interactome, Rho signaling, RhoGAPs, RhoGEFs, mammalian, 
PXD010030	Nannochloropsis data LC-MS/MS - Transcriptomic and proteomic responses to very low CO2 suggest multiple carbon concentrating mechanisms in Nannochloropsis oceanica	PRIDE	Nannochloropsis oceanica strain IMET1	LTQ Orbitrap Elite	Wei et al. (2019)	Ansgar Poetsch	2021-03-04	Biological, High/low carbon, Nannochloropsis, carbon metabolism, 
PXD011576	Bufffalo serum iTRAQ - Global serum proteomic changes in water buffaloes infected with Fasciola gigantica	PRIDE	Bos taurus 	LTQ Orbitrap	Zhang et al. (2019)	Xing-Quan Zhu	2021-03-04	Buffalo, serum, iTRAQ, 
PXD021021	Altered turnover of the CNS myelin protein Opalin in a mouse model of hereditary spastic paraplegia 35	PRIDE	Mus musculus 	LTQ Orbitrap Velos	Hardt et al. (2021)	Matthias Eckhardt	2021-03-04	Isobaric labeling, TMT, myelin, CNS, mice, fatty acid hydroxylation, sphingolipids, fatty acid 2-hydroxylase, FA2H, neurodegeneration, disease model, time course, hereditary spastic paraplegia 35, Opalin, 
PXD007693	EuPA YPIC challenge entry - proteome data analysis	PRIDE	artificial sequences	Orbitrap Fusion Lumos	10.1016/j.euprot.2019.07.012	Jesper Velgaard Olsen	2021-03-04	Technical, MaxQuant de novo, synthetic peptides, EuPA YPIC challenge, 
PXD008944	Profiling of fasting-feeding dynamics in mouse liver	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	Christer S. Ejsing	2021-03-04	Biological, Mouse, liver, 1D-LC-MSMS, online 2D-LC-MSMS, fasting, feeding, metabolism, 
PXD021935	Comprehensive Proteomic Profiling of Urinary Exosomes and Identification of Potential Noninvasive Early Biomarkers of Alzheimer’s Disease in 5XFAD Mouse Model	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Chuan Qin	2021-03-04	urinary exosome proteome, 5XFAD mouse model, Alzheimer’s disease, biomarkers, early diagnosis, 
PXD020603	Proteomic analysis of acorn cotyledon tissues from Quercus ilex with GeLC-orbitrap/MS (Non-Osthodox seed)	PRIDE	Quercus ilex subsp. ilex	Orbitrap Fusion	Sghaier-Hammami et al. (2021)	Jesus V. Jorrin-Novo	2021-03-04	Quercus ilex, GeLC-orbitrap/MS, Non-Osthodox seed, Proteomic, Cotyledon, 
PXD005179	Watermelon Proteome - To determine the differential expression of proteins in leaf and fruit of diploid and tetraploid watermelon	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap	Dataset with its publication pending	Ramesh Katam	2021-03-04	Biological, Watermelon fruit, leaf, LC MS/MS, 
PXD006429	PPT1 binding proteins - The Interactome of Palmitoyl-Protein Thioesterase 1 (PPT1) Affects Neuronal Morphology and Function	PRIDE	Mus musculus 	LTQ Orbitrap	Sapir et al. (2019)	Peter James	2021-03-04	Bioinformatics Infrastructure for Life Sciences (BILS) network (Sweden), Biological, GFP-PPT1, mouse brain, immunoprecipitation, 
PXD017271	Assessing the Effects of Redox Modifier MnTnBuOE-2-PyP 5+ on Cognition and Hippocampal Physiology Following Doxorubicin, Cyclophosphamide, and Paclitaxel Treatment	PRIDE	Mus musculus 	Orbitrap Fusion	McElroy et al. (2020)	Antino Allen	2021-03-04	Doxorubicin, Cyclophosphamide, Paclitaxel, MnTnBuOE-2-PyP, Hippocampus, Cognition, 
PXD004094	proteomics profiling of early retina degeneration of RCS rats	PRIDE	Rattus norvegicus 	LTQ Orbitrap Velos	Zhu et al. (2017)	ZhengQin Yin	2021-03-04	Biological, RCS rat, retina, retinitis pigmentosa, LC-MS, orbitrap, 
PXD006686	Glycolytic Enzyme Coalesce in G bodies Under Hypoxic Stress	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ Orbitrap Velos	Dataset with its publication pending	John K. Kim	2021-03-04	Biological, hypoxia, glycolytic enzymes, RNA granules, AMP kinase, phosphorylation, Saccharomyces cerevisiae, phosphofructokinase, 
PXD020970	Cellular proteins interacting with curved HIV-1 capsid lattices	PRIDE	Homo sapiens 	LTQ Orbitrap XL; Orbitrap Fusion	Dataset with its publication pending	Mamuka Kvaratskhelia	2021-03-04	HIV-1, capsid, human proteins, proteomics, 
PXD007281	Liver proteomics of the HMDP - Hepatosteatosis underlies several diseases including type 2 diabetes, cardiovascular disease and liver disease	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	Benjamin Parker	2021-03-04	Biological, genetic reference panel, hybrid mouse diversity panel, HMDP, liver, proteome wide association study, 
PXD020276	Mild hyperlipidemia in mice aggravates platelet responsiveness in thrombus formation: exploration of platelet proteome and lipidome.	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	van Geffen et al. (2020)	Albert Sickmann	2021-03-04	mouse platelets, coagulation, platelet activation, proteomics, thrombus formation, hyperlipidemia, 
PXD021540	tRNA 3' shortening by LCCR4 as a response to stress in Trypanosoma brucei	PRIDE	Trypanosoma brucei	Orbitrap Fusion Lumos	Cristodero et al. (2021)	Norbert Polacek	2021-03-04	Ccr4, tRNA, stress, brucei, translation, 
PXD020497	Hiss of death - Biogeographical venom variation in the Indian spectacled cobra (Naja naja) underscores the pressing need for pan-India efficacious snakebite therapy	PRIDE	Naja naja	Orbitrap Fusion	Dataset with its publication pending	Dr. Kartik Sunagar	2021-03-04	Venom variation, snake venoms, Naja naja venom, venomics, 
PXD019487	CTCF loss has limited effects on genome architecture in Drosophila despite critical regulatory functions.	PRIDE	Drosophila melanogaster (Fruit fly)	LTQ Orbitrap Velos	Dataset with its publication pending	Maria Cristina Gambetta	2021-03-04	genome organization, silencers, 
PXD004578	Mass spectrometry analysis reveals developmental differences between platelets derived from neonates and adults	PRIDE	Homo sapiens 	Orbitrap Fusion	Stokhuijzen et al. (2017)	Alexander Meijer	2021-03-04	Biological, Neonate, Platelet, Cord blood, Proteome, Mass spectrometry, 
PXD003310	NHE9 interactome(HEK293) - Effect of disease-associated SLC9A9 mutations on protein-protein interaction networks: implications for molecular mechanisms for ADHD and autism	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Zhang-James et al. (2019)	Yanli James	2021-03-04	Biomedical, NHE9, protein interactions, autism, ADHD, 
PXD004744	TDP-43 loss of function inhibits endosomal trafficking and alters trophic signaling in neurons - Surface labelling	PRIDE	Mus musculus 	LTQ Orbitrap Velos	Schwenk et al. (2016)	Dieter Edbauer	2021-03-04	Biological, TDP-43, recycling endosomes, ErbB4, FTLD, ALS, surface labelling, 
PXD014235	IgG purification- MS analysis - MS analysis was undertaken on human IgG purified using different approaches to assess purifity and potential alterations within the IgG N-linked glycans	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap Elite	Dataset with its publication pending	Amy Chung	2021-03-04	Human, IgG, Protein A purification, Melon gel, 
PXD014241	MFSD1 KO Liver - Lysosomes are a major site of intracellular acidic hydrolase-mediated proteolysis and cellular degradation	PRIDE	Mus musculus 	LTQ Orbitrap	Dataset with its publication pending	Melanie Thelen	2021-03-04	Biological, MFSD1, lysosome, liver, 
PXD003501	G4 Quadruplex Binding Proteins	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Byrd et al. (2016)	Boris Zybaylov	2021-03-04	Biological, Metastatic Melanoma WM 266-4 cell lines, 
PXD006850	Arabidopsis Myristoylom - Targeted Profiling of Arabidopsis thaliana Subproteomes Illuminates Co- and Posttranslationally N-Terminal Myristoylated Proteins	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap	Majeran et al. (2018)	Carmela Gilgione	2021-03-04	Biological, myristoylome, 
PXD006926	Xenopus A6 cells nanoLC-MS/MS - The Lhx1-Ldb1 complex interacts with Furry to regulate microRNA expression during pronephric kidney development	PRIDE	Xenopus laevis (African clawed frog)	LTQ Orbitrap Velos	Espiritu et al. (2018)	Neil A Hukriede	2021-03-04	Biological, Xenopus laevie, A6, kidney epithelial cells, nanoLC-MS/MS, 
PXD017784	Neutrophil specific granule and NETosis defect in Gray Platelet Syndrome	PRIDE	Homo sapiens 	Orbitrap Fusion	Aarts et al. (2021)	M. van den Biggelaar	2021-03-04	Neutrophil, Gray platelet syndrome, 
PXD002860	MCF7 SILAC Comparison of Protein Expression for Acidosis Biomarkers	PRIDE	Homo sapiens 	LTQ Orbitrap	Damaghi et al. (2015)	Robert Gillies	2021-03-04	Biomedical, MCF7 Cells, SILAC, Acidosis, Breast Cancer, 
PXD011011	Porcine LC-MSMS - Porcine Breast Extracellular Matrix Hydrogel for Spatial Tissue Culture	PRIDE	Sus scrofa domesticus (domestic pig)	LTQ Orbitrap Elite	Rijal et al. (2018)	Weimin Li	2021-03-04	Biological, porcine, breast, extracellular matrix proteins, 
PXD000520	Lysine Methylation Promotes VEGFR-2 Activation and Angiogenesis	PRIDE	Mus musculus , Homo sapiens 	LTQ Orbitrap	Hartsough et al. (2013)	Nader Rahimi	2021-03-04	Biological, in-gel digestion, LC-MS/MS, 
PXD023124	Nucleotide sugar biosynthesis occurs in the glycosomes of procyclic and bloodstream form Trypanosoma brucei	PRIDE	Trypanosoma brucei	LTQ Orbitrap Velos	Dataset with its publication pending	Mike Ferguson	2021-03-04	nucleotide sugar biosynthesis, glycosome localization, t. brucei, 
PXD016986	Metabolic differences between morphologically distinct symbiont populations in the tubeworm Riftia pachyptila	PRIDE	Candidatus Endoriftia persephone, Riftia pachyptila	LTQ Orbitrap Velos	Dataset with its publication pending	Stephanie Markert	2021-03-04	Biological, Metaproteomics, holobiont, mutualism, mutualistic association, deep sea, hydrothermal vents, symbiosis, gradient centrifugation, 
PXD003796	Distinct Combinatorial Cascade of Events Generated by ECM Proteolysis Dictates Cell Behavior, part 2	PRIDE	Rattus norvegicus 	LTQ Orbitrap	Solomonov et al. (2016)	Irit Sagi	2021-03-04	Biological, ECM, proteomics, 
PXD003870	Interactomics of the RLTPR protein explain its essential role for costimulation via CD28	PRIDE	Mus musculus 	LTQ Orbitrap Velos	Roncagalli et al. (2016)	Luc Camoin	2021-03-04	Biological, Mouse, LC-MS/MS, RLTPR, 
PXD001346	Exosomal proteome from mouse CSF	PRIDE	Mus musculus 	LTQ Orbitrap	Balusu et al. (2016)	Kris Gevaert	2021-03-04	Biological, Biomedical, Mouse, exosomes, extracellular vesicles, CSF, 
PXD015993	Thermal proteome profiling of phosphorylated proteoforms	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Mikhail M. Savitski	2021-03-04	Technical, Biological, thermal proteome profiling, phosphoproteomics, phosphopeptides, meltome, 
PXD022741	Categorization of Phosphorylation Site Behavior During the Diauxic Shift in Saccharomyces cerevisiae	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Gassaway, Paulo & Gygi (2021)	Steven Gygi	2021-03-04	Yeast, Diauxic Shift, Phosphoproteomics, 
PXD018912	Growth Phase-Specific Variations of the Proteome and Acetylome of the Organohalide-Respiring Dehalococcoides mccartyi Strain CBDB1	PRIDE	Dehalococcoides mccartyi CBDB1	Orbitrap Fusion; Q Exactive	10.3390/microorganisms9020365	Nico Jehmlich	2021-03-03	Dehalococcoides mccartyi, growth phase, chlorobenzene, proteome, acetylome, transcription analysis, Nε-lysine acetylation, organohalide respiration, reductive dehalogenation, dehalogenase, Tat transport, anaerobic respiration, low biom
PXD007701	Multi-omics and Network Evaluation of Arogenate Dehydratase Knock-out Mutants in Arabidopsis thaliana	MassIVE	Arabidopsis thaliana	LTQ Orbitrap Velos	no publication	Norman G. Lewis	2021-03-03	multiomics, arogenate dehydratase, 
PXD017706	Acarbose improves late-life physical function in mice of both sexes, but rejuvenates cardiac structure and lipid profile in males only	PanoramaPublic	Mus musculus	Orbitrap Fusion Lumos	Herrera et al. (2020)	Michael MacCoss	2021-03-03	data independent acquisition, Type 2 diabetes, acarbose, age-related disease, 
PXD014719	High-dose oncogenic PIK3CA drives constitutive cellular stemness through increased NODAL/TGFb signaling	PRIDE	Homo sapiens 	Orbitrap Fusion	Madsen et al. (2021)	Robert Semple	2021-03-02	cancer, PIK3CA, TFGb, NODAL iPSC, proteomics, transcriptomics, 
PXD023178	Protein-protein interaction of Phytophthora infestans RxLR effector AvrCap1 by immunoafinity enrichment in planta	PRIDE	Phytophthora infestans	Orbitrap Fusion	Dataset with its publication pending	Jan Sklenar	2021-03-02	Phytophthora infestans, RxLR effector, AvrCap1, RD54, 
PXD018022	Quantitative proximity proteomics suggests a phytotransferrin-mediated cell surface-to-chloroplast iron trafficking axis in marine diatoms	PRIDE	Phaeodactylum tricornutum CCAP 1055/1	Orbitrap Fusion Lumos	Turnšek et al. (2021)	Andrew Ellis Allen	2021-03-02	Ocean, Iron cycle, Diatoms, Phaeodactylum tricornutum, Phytotransferrin, Endocytosis, Metal trafficking, Chloroplast, Proximity proteomics, APEX2, 
PXD013730	Trrap-dependent lysine acetylation prevents neurodegeneration by modulating Sp1 transcriptional activity	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Tapias et al. (2021)	Zhao-Qi Wang	2021-03-02	Neurodegeneration, Lysine acetylation, TRRAP, Wnt signalling, SP transcription factors, 
PXD022811	SOX4 AND SMARCA4 COOPERATIVELY REGULATE PI3K SIGNALING THROUGH TRANSCRIPTIONAL ACTIVATION OF TGFBR2 IN BASAL LIKE BREAST CANCER	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Michael L Gatza	2021-03-02	SOX4, TGFBR2, SMARCA4, SWI/SNF, PI3 kinase, transcription, chromatin, epigenetics, breast cancer, 
PXD022621	The UBA domain of Ubc1 (Ube2K) Facilitates the Assembly of K48/K63-Branched Ubiquitin Chains	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Q Exactive HF; Orbitrap Exploris 480	Pluska et al. (2021)	Matthias Selbach	2021-03-02	Ubiquitin, branched, Yeast, UBC1, UBC4, 
PXD023019	Isoginkgetin derivative IP2 enhances the adaptive immune response against tumor antigens	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	Julien Marcoux	2021-03-02	cancer, immunopeptidomics, cancer vaccine, peptidomics, LC-MSMS, fibrosarcoma, 
PXD024317	Proteomics characterization of the neuroprotective effects of low-dose methamphetamine on rats with traumatic brain injury (TBI)	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Jun Qu	2021-03-01	traumatic brain injury, methamphetamine, large-scale proteomics, IonStar, 
PXD019911	Multi-Omics interrogation of soil microcosms amended with condensed tannins	PRIDE	unclassified Bacteria	Orbitrap Fusion Lumos	Dataset with its publication pending	Kelly Wrighton	2021-03-01	soil microbiome, anoxic response, polyphenols, 
PXD019665	Characterization of the Novel Mitochondrial Genome Segregation Factor TAP110 in Trypanosoma brucei	PRIDE	Trypanosoma brucei	Orbitrap Exploris 480	Dataset with its publication pending	Falk Butter	2021-03-01	LC-MS/MS, expression, 
PXD023612	Allergenicity Assessment and Allergen Profile Analysis of Different Chinese Wheat Cultivars	PRIDE	Triticum aestivum 	Orbitrap Fusion	Dataset with its publication pending	Linglin Fu	2021-03-01	Chinese Wheat Cultivars,Allergen, 
PXD011974	Proximity labeling proteomics of the androgen receptor reveals Kruppel-Like Factor 4 as a repressor of androgen-dependent genes	PRIDE	Homo sapiens 	Orbitrap Fusion	10.1016/J.MCPRO.2021.100064; V�lot et al. (2021)	Nicolas Bisson	2021-03-01	Biomedical, AR, proximity, network, KLF4, 
PXD019431	Circadian Mouse Articular Cartilage Proteomics	PRIDE	Mus musculus 	LTQ Orbitrap Elite	Dudek et al. (2021); 10.1016/J.JOCA.2021.02.008	Qing-Jun Meng	2021-03-01	mouse, circadian clock, cartilage, oseoarthritis, 
PXD021956	Investigating proteome constraints of Lactococcus lactis grown in a nutrient-rich environment	PRIDE	Lactococcus lactis subsp. cremoris MG1363	LTQ Orbitrap	Dataset with its publication pending	Sjef Boeren	2021-02-28	Lactococcus lactis, ccpA mutant, proteome constraint, metabolic modelling, laboratory evolution, 
PXD024388	A KRAS-responsive long non-coding RNA controls microRNA	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Michela Garofalo	2021-02-28	KIMAT1, RNA Antisense purification, Mass Spectrometry, RNA-Binding Proteins, non-small cell lung cancer, H1299, 
PXD022575	Carnitine O-octanoyltransferase is a novel inducer of vascular calcification via promoting fatty acid metabolism and mitochondrial dysfunction	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap Elite	Okui et al. (2020)	Elena Aikawa	2021-02-26	CROT, cardiovascular calcification, human primary smooth muscle cells, 
PXD011369	Comparative analysis of WT CBL and CBL 70Z interactomes.	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Ahmed et al. (2021); 10.1038/S41388-021-01684-X	Sara Rossana Zanivan	2021-02-26	Biological, CBL, ubiquitination, RTKs, endosomal trafficking, label-free quantitation, on-beads digestion., 
PXD021060	Biogeographic venom variation in medically important Indian snakes and the inadequacy of antivenom therapy in snakebite hotspots	PRIDE	Daboia russelii	Orbitrap Fusion	Dataset with its publication pending	Dr. Kartik Sunagar	2021-02-26	Venom variation, snake venoms, Daboia russelii venom, venomics, 
PXD022688	SP3 protocol for proteomic plant sample preparation prior LC-MS/MS	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Q Exactive HF; LTQ Orbitrap Elite	Dataset with its publication pending	Zbyněk Zdráhal	2021-02-25	bottom-up, protein cleanup, Arabidopsis thaliana, SDS removal, SP3, carboxylated magnetic beads, FASP, mass spectrometry, 
PXD024379	Proteomics analysis of YAP knockdown in mouse skeletal muscle	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Benjamin Parker	2021-02-25	YAP, skeletal muscle, proteomics, 
PXD020848	16-plex isobaric mass tags enable streamlined proteomics-based drug mechanism-of-action studies	PRIDE	Escherichia coli, Homo sapiens 	Orbitrap Fusion Lumos	Zinn et al. (2021)	Marcus Bantscheff	2021-02-25	TMT, isobaric labeling, TMTPro, TPP, 2D-TPP, mPDP, 
PXD022848	Proteomic investigation of organic residues from ancient Baħrija pottery reveals dietary habits during Maltese Bronze Age	PRIDE	Triticum aestivum , Bos taurus , Hordeum vulgare 	Orbitrap Fusion	Tanasi et al. (2021)	Laboratory of Organic Mass Spectrometry (LOMS)	2021-02-25	Paleoproteomic, ancient food proteins, high-resolution mass spectrometry, deamidation, 
