Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD023867	Serine-threonine kinase TAO3 mediated trafficking of endosomes containing the invadopodia scaffold TKS5-alpha promotes cancer invasion and tumor growth	PRIDE	Homo sapiens 	Orbitrap Fusion	Iizuka et al. (2021)	Dr. Sara A. Courtneidge	2021-01-29	TAO3, TAOK3, invadopodia, TKS5-alpha, endosomes, TMT data, Orbitrap Fusion, phosphoproteomics, PTM Quantitation, 
PXD017740	A proteomic architectural landscape of the healthy and aging human intervertebral disc	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Tam et al. (2020)	Danny Chan	2021-01-29	Intervertebral disc, proteomics, aging, 
PXD018193	Actively synthesised proteins in human intervertebral disc	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Tam et al. (2020)	Danny Chan	2021-01-29	Intervertebral disc, proteomics, aging, proteomic architecture, SILAC, dynamic proteome, 
PXD021189	usp11 overexpression in neuron derived from mESCs for proteome and ubiquitylome analyses	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	Ruey-Hwa Chen	2021-01-29	usp11, mESCs, ubiquitylome analyses, 
PXD023486	20-175-Cronan-ZheHu and 20-200-Cronan-ZHu	PRIDE	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Orbitrap Fusion	Dataset with its publication pending	John E. Cronan Jr	2021-01-28	LC-MS/MS, 
PXD019100	Shotgun MS analysis of human malaria parasite protien PfJ2 and interactors	PRIDE	Plasmodium falciparum 3D7	Orbitrap Fusion Lumos; Orbitrap Fusion; LTQ Orbitrap Elite	Dataset with its publication pending	Vasant Muralidharan	2021-01-27	Malaria plasmodium falciparum shotgun MS PfJ2, 
PXD022424	Proteomics profiling of arginine methylation mediated by PRMT family reveals a critical role of arginine methylation in RNA splicing and cancer cell growth	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Wen Liu	2021-01-26	PRMTs,arginine methylation,RNA splicing, 
PXD018106	Crosslinking mass spectrometry analysis of 𝛾TuRC complex	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Consolati et al. (2020)	Juri Rappsilber	2021-01-26	Crosslinking mass spectrometry, 𝛾TuRC complex, integrative structural analysis, 
PXD022511	Reimagining high-throughput profiling of reactive cysteines for cell-based screening of large electrophile libraries	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion Lumos	Kuljanin et al. (2021)	Steven P. Gygi	2021-01-25	chemical proteomics, reactive cysteines, 
PXD022954	Dietary restriction transforms the mammalian protein sulfhydrome in a tissue-specific and cystathionine γ-lyase-dependent manner	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Christopher Hine	2021-01-24	dietary restriction (DR), cystathionine γ-lyase (CGL, CSE, CTH), hydrogen sulfide (H2S), sulfhydration, persulfidation, sulfhydrome, biotin thiol assay (BTA), cysteine, every other day (EOD) fasting, longevity, redox metabolism, 
PXD022956	Dietary restriction transforms the mammalian protein sulfhydrome in a tissue-specific and cystathionine γ-lyase-dependent manner	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Christopher Hine	2021-01-24	dietary restriction (DR), cystathionine γ-lyase (CGL, CSE, CTH), hydrogen sulfide (H2S), sulfhydration, persulfidation, sulfhydrome, biotin thiol assay (BTA), cysteine, every other day (EOD) fasting, longevity, redox metabolism, 
PXD021216	Alkaloids modify the poison frog proteome	PRIDE	Oophaga sylvatica	Orbitrap Fusion	O'Connell et al. (2021)	Lauren A. O’Connell	2021-01-24	Poison Dart Frog,gut, liver, skin, toxin, saxiphilin, complement system, cytochrome P450s, 
PXD021827	Impact of KsgA/Dim1 on proteostasis in Haloferax volcanii and Escherichia coli	PRIDE	Escherichia coli, Haloferax volcanii	Orbitrap Fusion	Kn�ppel et al. (2021)	Marlene Heloise Oeffinger	2021-01-24	KsgA, Dim1, dimethyltransferase, m6A, ribosome, archaea, Haloferax volcanii, Escherichia coli., 
PXD022888	Dietary restriction transforms the mammalian protein sulfhydrome in a tissue-specific and cystathionine γ-lyase-dependent manner	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Christopher Hine	2021-01-24	dietary restriction (DR), cystathionine γ-lyase (CGL, CSE, CTH), hydrogen sulfide (H2S), sulfhydration, persulfidation, sulfhydrome, biotin thiol assay (BTA), cysteine, every other day (EOD) fasting, longevity, redox metabolism, 
PXD023505	Proteomics Profiling of Breast Cell Line-derived Extracellular Vesicles	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Maxim Valentinovich Berezovski	2021-01-24	Proteomics, Extracellular vesicles, Human, Cell lines, 
PXD020189	A Protein Kinase G-interacting protein regulates critical calcium signals in malaria parasites (phosphoproteomic)	PRIDE	Plasmodium berghei ANKA	Orbitrap Fusion Lumos	Dataset with its publication pending	Mathieu Brochet	2021-01-24	plasmodium, gametocytes, Phosphoproteomic, LC-MSMS, 
PXD020210	A Protein Kinase G -interacting protein regulates critical calcium signals in malaria parasites (Co-IP)	PRIDE	Plasmodium berghei ANKA	Orbitrap Fusion Lumos; Q Exactive	Dataset with its publication pending	Mathieu Brochet	2021-01-24	plasmodium, gametocytes, co-IP, LC-MSMS, 
PXD022258	A conserved cysteine-based redox mechanism sustains TFEB/HLH-30 activity under persistent stress	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Martina et al. (2020)	Rosa Puertollano	2021-01-21	glutathionylation, HLH-30, lysosomes, TFEB, TFE3, 
PXD023702	ZMYND11-MBTD1 induces leukemogenesis through hijacking NuA4/TIP60 acetyltransferase complex and a PWWP-mediated chromatin association mechanism	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	Gang Greg Wang	2021-01-20	acute myeloid leukemia, H3K36me3, bromodomain, 
PXD021991	Global proteomics of Ubqln2-based murine models of ALS	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	Whiteley et al. (2020)	Daniel Finley	2021-01-19	ubiquitin, proteasome, ALS, neurodegeneration, proteomics, ubiquitin ligase, UBQLN2, 
PXD023244	Bioinformatic analysis of the wound peptidome reveals potential biomarkers and antimicrobial peptides	PRIDE	Homo sapiens 	Q Exactive HF; Orbitrap Fusion	Dataset with its publication pending	Sven Kjellstr�m	2021-01-18	Peptidomics wound fluid, 
PXD020882	Proteomics-based identification of DUBsubstrates using selective inhibitors	PRIDE	Hepatitis C virus subtype 1a, Homo sapiens 	Orbitrap Fusion Lumos	Bushman et al. (2020)	Eric Fischer	2021-01-17	Ubiquitin, Deubiquitinating enzymes, DUBs, USP7, Ubiquitin proteasome system, proteomics, 
PXD019164	Mapping the Degradable Kinome: A Resource for Expedited Degrader Development	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Donovan et al. (2020)	Eric Fischer	2021-01-17	Ubiquitin, PROTAC, IMiD, Kinase, degrader, Ubiquitin proteasome system, targeted degradation, E3 ligase., 
PXD019167	Mapping the Degradable Kinome: A Resource for Expedited Degrader Development	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Donovan et al. (2020)	Eric Fischer	2021-01-17	Ubiquitin, PROTAC, IMiD, Kinase, degrader, Ubiquitin proteasome system, targeted degradation, E3 ligase., 
PXD020873	Proteomics-based identification of DUBsubstrates using selective inhibitors	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Bushman et al. (2020)	Eric Fischer	2021-01-17	Ubiquitin, Deubiquitinating enzymes, DUBs, USP7, Ubiquitin proteasome system, proteomics,, 
PXD021313	Mapping the Degradable Kinome: A Resource for Expedited Degrader Development	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Donovan et al. (2020)	Eric Fischer	2021-01-17	Ubiquitin, PROTAC, IMiD, Kinase, degrader, Ubiquitin proteasome system, targeted degradation, E3 ligase., 
PXD020525	Structural basis of ubiquitination mediated by protein splicing in early Eukarya	PRIDE	Escherichia coli	Orbitrap Fusion	Chiarini et al. (2021)	Serena Camerini	2021-01-17	ubiquitin protein splicing, 
PXD018092	Replication forks proteomics reveals ATM-dependent rewiring of broken forks to promote restart	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive	Dataset with its publication pending	Juri Rappsilber	2021-01-15	DNA replication, SILAC, NCC, nascent chromatin capture, 
PXD014134	Re-expression of SMARCA4/BRG1 in Small Cell Carcinoma of Ovary, Hypercalcemic Type (SCCOHT) promotes an epithelial-like gene signature through an AP-1-dependent mechanism	PRIDE	Homo sapiens 	Orbitrap Fusion	Orlando et al. (2020)	Gregg Morin	2021-01-15	ovarian carcinoma SMARCA4, 
PXD018559	A comprehensive enhancer screen identifies TRAM2 as a key mediator of YAP oncogenesis	PRIDE	Homo sapiens 	Q Exactive HF-X; Orbitrap Fusion	Dataset with its publication pending	Maarten Altelaar	2021-01-14	YAP, enhancer, TRAM2, proliferation, migration, invasion, gene regulation, LC-MS/MS, proteome, breast cancer, 
PXD023021	Ribosomal protein deficiency generates proteotoxic stress that is alleviated by TOR inhibition	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion Lumos	Dataset with its publication pending	Jean-Paul Vincent	2021-01-14	ribosomes, protein translation, ribosomopathies, proteotoxic stress, autophagy, protein aggregates, apoptosis, p62, eIF2, TOR, RPS23, RPS26, Diamond Blackfan anemia, 
PXD013934	Dysregulation of phophoproteins in hepatocellular carcinoma revealed by the quantitative analysis of phosphoproteome	PRIDE	Homo sapiens 	Orbitrap Fusion	Liu et al. (2021)	Jintao Zhang	2021-01-14	phophoproteins, Hepatocellular carcinoma,LC−MS/MS, 
PXD018774	Modulation of immune cell reactivity with cis-binding Siglec-9 agonists	PRIDE	Homo sapiens 	Orbitrap Fusion	Delaveris et al. (2021)	Carolyn Bertozzi	2021-01-14	Phosphoproteomics, LC-MS/MS, TMT, 
PXD022694	A genetic platform to delineate tissue-specific in vivo secretion	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Liu et al. (2021)	Toren Finkel	2021-01-14	Secretome, biotinylation, ER-BioIDHA, serum, endothelial cells, muscle, 
PXD020369	Phosphoproteomic analysis of signal transmission in the Mitotic Exit Network	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Dataset with its publication pending	Yansheng Liu	2021-01-14	Phosphoproteomics, DIA-MS, Yeast, Mitotic Exit, 
PXD021089	greenCUT&RUN: a rapid and efficient genome profiling approach for transcription and chromatin regulatory proteins	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	H. Th. Marc Timmers	2021-01-12	NFYA, FOS, HeLa, GFP-tagged proteins, Affinity purification, Nanobody, Enhancer, 
PXD023182	N-terminal VP1 truncation favor T=1 norovirus-like particles	PRIDE	Norovirus	Q Exactive; Orbitrap Fusion	Pogan et al. (2020)	Dr Charlotte Uetrecht	2021-01-11	norovirus, capsid assembly, VP1 truncation, 
PXD023119	ProteomeTools Part IV - TMT labeled non-modified tryptic peptides	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Bernhard Kuster	2021-01-11	ProteomeTools, synthetic peptide, TMT, tandem mass tag, 
PXD020322	New mixture models for decoy-free false discovery rate estimation in mass-spectrometry proteomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Peng et al. (2020)	Alexander R. Ivanov	2021-01-11	bioinformatics, decoy-free framework, false discovery rate, proteomics, 
PXD010554	System-wide identification of enzyme substrates by thermal analysis (SIESTA)	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Roman Zubarev	2021-01-10	Biological, Biomedical, ARTD10, MARylation, PARP10, Poly-(ADP-ribose) polymerase-10, post-translational modification, substrate, target, thermal stability, thioredoxin reductase 1, TrxR1, 
PXD023419	MS-based sequencing of the anti-FLAG-M2 antibody	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Joost Snijder	2021-01-10	antibody, stepped HCD, EThcD, de novo sequencing, 
PXD021916	System-wide identification and prioritization of enzyme substrates by thermal analysis (SIESTA)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Prof. Roman A. Zubarev	2021-01-10	SIESTA, HELA, phpsphoproteomics, thermal profiling, enzyme, AKT1, 
PXD021915	System-wide identification and prioritization of enzyme substrates by thermal analysis (SIESTA)	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Prof. Roman A. Zubarev	2021-01-10	Pulldown, PARP10, HCT116, LC-MS, 
PXD023286	ChAdOx infection of human cell lines A549 MRC-5	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	David Matthews	2021-01-10	human, adenovirus, ChAdOx nCoV-19, 
PXD021961	Rapid degradation pathways of host proteins during HCMV infection revealed by quantitative proteomics	PRIDE	Cytomegalovirus, Homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	Dataset with its publication pending	Michael Weekes	2021-01-08	Human, HCMV, proteasome, MG132, Bortezomib, TMT, LC-MS3, 
PXD020664	Living the sweet life: how Liquorilactobacillus hordei TMW 1.1822 changes its behavior in the presence of sucrose in comparison to glucose	PRIDE	Lactobacillus hordei	Orbitrap Fusion Lumos	0	Christina Ludwig	2021-01-07	Liquorilactobacillus hordei, Lactobacillus hordei, dextransucrase, proteomics, exoproteome, water kefir, sucrose, metabolism, 
PXD021359	Grad-seq in Pseudomonas aeruginosa PAO1	PRIDE	Pseudomonas aeruginosa	Orbitrap Fusion	Dataset with its publication pending	J�rg Vogel	2021-01-06	Pseudomonas Grad-seq RNA-binding proteome, 
PXD020130	LC-MS/MS of different developmental stages of human pancreas	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Lingjun Li	2021-01-05	Antibodies (B/D-HPP), Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, Human, pancreas, developmental stages, matrisome, LC-MS/MS, 
PXD022722	Proteomics of REPLICANT Perfusate Detects Changes in the Metastatic Lymph Node Microenvironment	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Jyoti Choudhary	2021-01-05	Cancer, LC-MSMS, TMT, 
PXD016626	An interactive predictor to reassess the specific protein compositions of HIV-1 and extracellular vesicles	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Damarys Loew	2021-01-04	Extracellular vesicles, exosomes, HIV-1, 
PXD022471	Molecular biomarkers of neovascular age-related macular degeneration with incomplete response to anti-vascular endothelial growth factor treatment	PRIDE	Homo sapiens 	Orbitrap Fusion	https://www.frontiersin.org/articles/10.3389/fphar.2020.594087	Raphael Roduit	2021-01-04	Human, age-related macular degeneration, Orbitrap Fusion, 
PXD021818	Ubiquitinated proteome of E15.5 murine cortical neurons	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Menon et al. (2020)	Stephanie L. Gupton	2021-01-04	Embryonic cortical neurons, Orbitrap Fusion Lumos, ubiquitinate proteome, 
PXD021758	TRIM9 and TRIM67 interactome using the BioID approach	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Menon et al. (2020)	Stephanie L. Gupton	2021-01-04	Embryonic cortical neurons, Orbitrap Fusion Lumos, 
PXD019508	Expanding the cross-link coverage of a dihydrazide-based carboxyl-group specific chemical cross-linking strategy - Dataset 3: E. coli 70S ribosome	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Dataset with its publication pending	Alexander Leitner	2021-01-04	Chemical cross-linking, PDH, DMTMM, 70S ribosome, method optimization, 
PXD019507	Expanding the cross-link coverage of a dihydrazide-based carboxyl-group specific chemical cross-linking strategy - Dataset 2: Bovine 20S proteasome	PRIDE	Bos taurus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Alexander Leitner	2021-01-04	Chemical cross-linking, PDH, DMTMM, 20S proteasome, method optimization, 
PXD019043	Rab1b-AMPylation by Legionella DrrA is allosterically activated by Rab1	PRIDE	Legionella pneumophila, Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Stephan Axel Sieber	2021-01-04	Legionella, DrrA, Rab, crosslink, 
PXD021575	A proteomics-based method for identifying antigens within immune complexes	PRIDE	Alphainfluenzavirus, Betainfluenzavirus, Homo sapiens 	Orbitrap Fusion	Menikou et al. (2020)	Michael Levin	2021-01-04	Immune complexes, Metaproteomics, Human, Influenza, Orbitrap, 
PXD020480	Arabidopsis proteome in the tripartite interaction between cytokinin, light and temperature	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion Lumos	Dataset with its publication pending	Martin Cerny	2021-01-04	Arabidopsis, light, cold, cytokinin, 
PXD011626	Genome-wide postnatal changes in immunity following fetal inflammatory response	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Costa et al. (2020)	Eduard Sabid�	2020-12-23	Human, fetal inflammatory response, dried blood spots, 
PXD017398	MaTAR25 RNA Antisense Pulldown and Mass Spectrometry	PRIDE	Mus musculus 	Orbitrap Fusion Lumos; Q Exactive	Dataset with its publication pending	David L. Spector	2020-12-23	Mouse, lncRNA, MaTAR25, breast cancer, protein interaction, biotin-oligos, 
PXD020757	Mechanisms and Novel Proteins for Iron Oxide Mineral Reduction in the Hyperthermophilic Crenarchaeon Pyrodictium delaneyi	PRIDE	Pyrodictium delaneyi	Orbitrap Fusion	Dataset with its publication pending	James F Holden	2020-12-22	TMT, hyperthermophile, archaea, iron reducer, 
PXD021413	Inflammatory Signaling is Regulated by Fucosylation in Metastatic Breast Cancer Cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Elizabeth Yeh	2020-12-21	fucosylation, N-glycsoylation, breast cancer, metastasis, NF-κB, 
PXD007600	Arabidopsis diurnal LFQ proteome and labelled phosphoproteome	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion; Q Exactive	Uhrig et al. (2020)	Prof. Wilhelm Gruissem	2020-12-18	Biological, Arabidopsis, diurnal, proteome, phosphoproteome, 
PXD020696	IFITM3 amino acid mutants phosphoproteomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Lee et al. (2020)	Markus Muschen	2020-12-17	PDX B-ALL B-cell, 
PXD020697	IFITM3 BioID Interactomes in B-ALL and MCL	PRIDE	Homo sapiens 	Orbitrap Fusion	Lee et al. (2020)	Markus Muschen	2020-12-17	Human B-ALL MCL B-cells, 
PXD022186	Detection and Quantification of Novel C-terminal TDP-43 Fragments in ALS-TDP	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Roman Fischer	2020-12-17	TDP-43, PRM, ALS, 
PXD017288	Identification of OmpA in Acinetobacter sp. SA01 and its expression assessment	PRIDE	Acinetobacter sp. SA01	Orbitrap Fusion	Dataset with its publication pending	Kambiz Akbari Noghabi	2020-12-17	OmpA, outer membrane vesicle (OMV), biofilm, outer membrane (OM), proteomics, shotgun proteomics, 
PXD019708	Definition of aberrant MYB CBP/P300 complex in AML	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Alex Kentsis	2020-12-17	MYB, CBP/P300, AML, LC-MS, Proteomics, Human, 
PXD020244	Ulcerative Colitis-Derived Colonoid Culture: 2 A multi-mineral-approach to improve barrier protein expression	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Muhammad Nadeem Aslam	2020-12-17	Ulcerative colitis, colonoid, cell barrier, basement membrane, desmosome, calcium, 29 proteomics, 
PXD019495	TMT-proteomics of sorted MC38+ tumor cells with high-fat diet	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Ringel et al. (2020)	Steven Gygi	2020-12-15	Biological, colorectal cancer, mouse, obesity, 
